id,action,symbol,type,buy_point,stop_loss,take_profit,risk,quantity,date,time,gap,bp_filled_price,bp_filled_at,cost,leverage_cost,high,low,highest,lowest,pl,pl_filled_price,pl_amount,price_change,stop_at,created_at
36687,SELL,TME,OKAR/S,12.66,12.88,12.51,50,227,02/01/2019,09:34:00,4.65116,NULL,2019-01-02T09:35:00.000Z,2873.82,718.455,12.91,NULL,NULL,0,L,12.66,0,"{""3-bars"": 0.006, ""5-bars"": 0, ""7-bars"": 0}",2019-01-02T09:55:00.000Z,40:44.6
36688,SELL,TME,SHOOTING-STAR,12.81,13,12.69,50,263,02/01/2019,09:55:00,30.23256,NULL,2019-01-02T09:56:00.000Z,3369.03,842.258,12.84,NULL,NULL,0,P,12.81,0,"{""3-bars"": -0.002, ""5-bars"": -0.008, ""7-bars"": -0.003}",2019-01-02T10:09:00.000Z,40:44.6
36689,SELL,TSLA,OKAR/S,60.79,61.22,60.43,50,116,02/01/2019,09:56:00,17.88054,NULL,2019-01-02T09:57:00.000Z,7051.64,1762.91,61.4,NULL,NULL,60.51,L,60.79,0,"{""3-bars"": -0.008, ""5-bars"": -0.005, ""7-bars"": -0.003}",2019-01-02T10:09:00.000Z,40:44.6
36690,SELL,TSLA,SHOOTING-STAR,60.74,60.98,60.57,50,208,02/01/2019,10:00:00,17.88054,NULL,2019-01-02T10:01:00.000Z,12633.92,3158.48,60.78,NULL,NULL,60.51,P,60.74,0,"{""3-bars"": -0.001, ""5-bars"": 0.004, ""7-bars"": -0.007}",2019-01-02T10:01:00.000Z,40:44.6
36691,SELL,RIO,SHOOTING-STAR,31.14,31.26,31.09,50,417,02/01/2019,10:08:00,24.35115,NULL,2019-01-02T10:09:00.000Z,12985.38,3246.345,31.26,NULL,NULL,31.07,P,31.14,0,"{""3-bars"": -0.0, ""5-bars"": -0.002, ""7-bars"": -0.003}",2019-01-02T10:33:00.000Z,40:44.6
36692,SELL,TME,SHOOTING-STAR,12.73,12.85,12.68,50,417,02/01/2019,10:48:00,30.23256,NULL,2019-01-02T10:50:00.000Z,5308.41,1327.103,12.86,NULL,NULL,0,L,12.73,0,"{""3-bars"": -0.003, ""5-bars"": 0.0, ""7-bars"": -0.002}",2019-01-02T11:20:00.000Z,40:44.6
36693,SELL,TSLA,SHOOTING-STAR,61.48,61.69,61.34,50,238,02/01/2019,10:56:00,17.88054,NULL,2019-01-02T10:57:00.000Z,14632.24,3658.06,61.51,NULL,NULL,61.1,P,61.48,0,"{""3-bars"": -0.003, ""5-bars"": -0.005, ""7-bars"": -0.005}",2019-01-02T10:58:00.000Z,40:44.6
36694,SELL,WY,OKAR/S,18.42,18.54,18.37,50,417,02/01/2019,11:16:00,42.30645,NULL,2019-01-02T11:17:00.000Z,7681.14,1920.285,18.51,NULL,NULL,18.31,P,18.42,0,"{""3-bars"": 0.0, ""5-bars"": -0.001, ""7-bars"": -0.001}",2019-01-02T12:06:00.000Z,40:44.6
36695,SELL,TSLA,SHOOTING-STAR,61.31,61.56,61.13,50,200,02/01/2019,11:26:00,17.88054,NULL,2019-01-02T11:27:00.000Z,12262,3065.5,61.59,NULL,NULL,61.24,L,61.31,0,"{""3-bars"": -0.002, ""5-bars"": 0.001, ""7-bars"": 0.003}",2019-01-02T11:30:00.000Z,40:44.6
36696,SELL,RIO,OKAR/S,31.36,31.48,31.31,50,417,02/01/2019,11:54:00,45.14504,NULL,NULL,13077.12,3269.28,NULL,NULL,NULL,NULL,C,NULL,NULL,"{""3-bars"": -0.0, ""5-bars"": 0.001, ""7-bars"": 0.001}",2019-01-02T11:58:00.000Z,40:44.6
