id,action,symbol,type,buy_point,stop_loss,take_profit,risk,quantity,date,time,gap,bp_filled_price,bp_filled_at,cost,leverage_cost,high,low,highest,lowest,pl,pl_filled_price,pl_amount,price_change,stop_at,created_at
30977,BUY,WATT,OKAR/B,24.4,23.67,25.11,50,68,02/01/2018,10:34:00,51.45228,NULL,NULL,1659.2,414.8,NULL,NULL,NULL,NULL,C,NULL,NULL,"{""3-bars"": -0.006, ""5-bars"": -0.018, ""7-bars"": -0.012}",2018-01-02T10:38:00.000Z,57:35.0
30978,BUY,WATT,OKAR/B,23.16,22.94,23.36,50,227,02/01/2018,11:36:00,51.45228,NULL,2018-01-02T11:37:00.000Z,5257.32,1314.33,NULL,22.91,23.39,NULL,L,23.16,0,"{""3-bars"": -0.013, ""5-bars"": -0.021, ""7-bars"": -0.008}",2018-01-02T11:41:00.000Z,57:35.0
30979,BUY,WATT,OKAR/B,22.38,22.19,22.55,50,263,02/01/2018,12:07:00,51.45228,NULL,NULL,5885.94,1471.485,NULL,NULL,NULL,NULL,C,NULL,NULL,"{""3-bars"": 0.006, ""5-bars"": -0.002, ""7-bars"": -0.016}",2018-01-02T12:11:00.000Z,57:35.0
30980,BUY,WATT,HUMMER,22.23,22.08,22.36,50,333,02/01/2018,12:20:00,51.45228,NULL,2018-01-02T12:21:00.000Z,7402.59,1850.648,NULL,22.11,22.86,NULL,P,22.23,0,"{""3-bars"": -0.004, ""5-bars"": -0.001, ""7-bars"": 0.007}",2018-01-02T12:29:00.000Z,57:35.0
30981,BUY,WATT,HUMMER,21.84,21.73,21.93,50,455,02/01/2018,13:55:00,51.45228,NULL,2018-01-02T13:57:00.000Z,9937.2,2484.3,NULL,21.77,22.84,NULL,P,21.84,0,"{""3-bars"": -0.001, ""5-bars"": -0.013, ""7-bars"": -0.006}",2018-01-02T13:58:00.000Z,57:35.0
30982,BUY,WATT,HUMMER,22.29,22.08,22.48,50,238,02/01/2018,14:18:00,51.45228,NULL,2018-01-02T14:19:00.000Z,5305.02,1326.255,NULL,21.94,22.84,NULL,L,22.29,0,"{""3-bars"": -0.005, ""5-bars"": 0.001, ""7-bars"": 0.002}",2018-01-02T14:23:00.000Z,57:35.0
30983,BUY,AMD,HUMMER,11.63,11.04,12.2,50,85,03/01/2018,09:35:00,70,NULL,2018-01-03T09:36:00.000Z,988.55,247.138,NULL,NULL,NULL,NULL,C,11.63,-0.43,"{""3-bars"": -0.005, ""5-bars"": -0.011, ""7-bars"": 0}",2018-01-03T15:29:00.000Z,57:35.4
30984,BUY,AMD,OKAR/B,11.6,11.55,11.63,50,1000,03/01/2018,10:26:00,70,NULL,2018-01-03T10:28:00.000Z,11600,2900,NULL,11.58,12.14,NULL,P,11.6,0,"{""3-bars"": -0.0, ""5-bars"": 0.0, ""7-bars"": -0.001}",2018-01-03T10:32:00.000Z,57:35.4
30985,BUY,AMD,OKAR/B,11.79,11.73,11.83,50,833,03/01/2018,11:41:00,70,NULL,NULL,9821.07,2455.268,NULL,NULL,NULL,NULL,C,NULL,NULL,"{""3-bars"": 0.001, ""5-bars"": 0.003, ""7-bars"": 0.003}",2018-01-03T11:45:00.000Z,57:35.4
30986,SELL,INTC,OKAR/S,38.39,38.54,38.26,50,333,04/01/2018,09:37:00,7.24242,NULL,2018-01-04T09:39:00.000Z,12783.87,3195.968,38.46,NULL,NULL,37.67,P,38.39,0,"{""3-bars"": 0.0, ""5-bars"": -0.003, ""7-bars"": -0.008}",2018-01-04T09:40:00.000Z,57:36.0
