id,action,symbol,type,buy_point,stop_loss,take_profit,risk,quantity,date,time,gap,bp_filled_price,bp_filled_at,cost,leverage_cost,high,low,highest,lowest,pl,pl_filled_price,pl_amount,price_change,stop_at,created_at
20192,SELL,BP,OKAR/S,22.56,22.62,22.52,50,833,05/01/2015,10:58:00,4.52632,NULL,2015-01-05T10:59:00.000Z,18792.48,4698.12,22.57,NULL,NULL,22.33,P,22.56,0,"{""3-bars"": 0.0, ""5-bars"": 0.003, ""7-bars"": 0.001}",2015-01-05T11:00:00.000Z,51:31.1
20193,SELL,BP,OKAR/S,22.34,22.42,22.28,50,625,05/01/2015,11:27:00,4.52632,NULL,2015-01-05T11:28:00.000Z,13962.5,3490.625,22.43,NULL,NULL,22.33,L,22.34,0,"{""3-bars"": -0.0, ""5-bars"": 0.0, ""7-bars"": 0.001}",2015-01-05T11:35:00.000Z,51:31.1
20194,SELL,BP,OKAR/S,22.48,22.56,22.42,50,625,05/01/2015,11:57:00,4.52632,NULL,2015-01-05T11:58:00.000Z,14050,3512.5,22.57,NULL,NULL,22.47,L,22.48,0,"{""3-bars"": 0.001, ""5-bars"": -0.001, ""7-bars"": -0.0}",2015-01-05T12:22:00.000Z,51:31.1
20195,SELL,BP,SHOOTING-STAR,22.52,22.56,22.5,50,1250,05/01/2015,12:08:00,4.52632,NULL,2015-01-05T12:09:00.000Z,28150,7037.5,22.54,NULL,NULL,22.49,P,22.52,0,"{""3-bars"": -0.001, ""5-bars"": -0.001, ""7-bars"": -0.001}",2015-01-05T12:11:00.000Z,51:31.1
20196,SELL,BP,SHOOTING-STAR,22.54,22.6,22.5,50,833,05/01/2015,12:22:00,4.52632,NULL,2015-01-05T12:23:00.000Z,18775.82,4693.955,22.6,NULL,NULL,22.5,L,22.54,0,"{""3-bars"": -0.001, ""5-bars"": 0.0, ""7-bars"": -0.002}",2015-01-05T12:46:00.000Z,51:31.1
20197,SELL,BP,OKAR/S,22.59,22.65,22.55,50,833,05/01/2015,13:14:00,4.52632,NULL,NULL,18817.47,4704.368,NULL,NULL,NULL,NULL,C,NULL,NULL,"{""3-bars"": 0.0, ""5-bars"": 0.002, ""7-bars"": 0.001}",2015-01-05T13:18:00.000Z,51:31.1
20198,SELL,BP,SHOOTING-STAR,22.64,22.7,22.6,50,833,05/01/2015,13:24:00,4.52632,NULL,NULL,18859.12,4714.78,NULL,NULL,NULL,NULL,C,NULL,NULL,"{""3-bars"": -0.0, ""5-bars"": -0.001, ""7-bars"": -0.001}",2015-01-05T13:28:00.000Z,51:31.1
20199,SELL,BP,SHOOTING-STAR,22.67,22.73,22.63,50,833,05/01/2015,13:59:00,4.52632,NULL,NULL,18884.11,4721.028,NULL,NULL,NULL,NULL,C,NULL,NULL,"{""3-bars"": -0.001, ""5-bars"": 0.001, ""7-bars"": 0.001}",2015-01-05T14:03:00.000Z,51:31.1
20200,SELL,BP,SHOOTING-STAR,22.68,22.73,22.65,50,1000,05/01/2015,14:12:00,4.52632,NULL,2015-01-05T14:13:00.000Z,22680,5670,22.73,NULL,NULL,22.63,L,22.68,0,"{""3-bars"": -0.0, ""5-bars"": 0.0, ""7-bars"": -0.0}",2015-01-05T14:25:00.000Z,51:31.1
20201,BUY,MNDT,HUMMER,31.14,30.93,31.33,50,238,07/01/2015,09:46:00,7.20721,NULL,NULL,7411.32,1852.83,NULL,NULL,NULL,NULL,C,NULL,NULL,"{""3-bars"": -0.009, ""5-bars"": -0.004, ""7-bars"": 0.004}",2015-01-07T09:50:00.000Z,51:31.6
20202,BUY,MNDT,HUMMER,31.11,30.98,31.22,50,385,07/01/2015,09:49:00,7.20721,NULL,NULL,11977.35,2994.338,NULL,NULL,NULL,NULL,C,NULL,NULL,"{""3-bars"": 0.0, ""5-bars"": -0.006, ""7-bars"": -0.012}",2015-01-07T09:53:00.000Z,51:31.6
20203,SELL,MU,SHOOTING-STAR,31.85,31.91,31.81,50,833,07/01/2015,10:46:00,51.99398,NULL,2015-01-07T10:47:00.000Z,26531.05,6632.763,31.93,NULL,NULL,31.77,L,31.85,0,"{""3-bars"": -0.002, ""5-bars"": 0.001, ""7-bars"": 0.001}",2015-01-07T10:50:00.000Z,51:31.6
20204,BUY,MNDT,OKAR/B,30.94,30.75,31.11,50,263,07/01/2015,11:15:00,35.13514,NULL,2015-01-07T11:16:00.000Z,8137.22,2034.305,NULL,30.84,31.28,NULL,P,30.94,0,"{""3-bars"": 0.001, ""5-bars"": -0.0, ""7-bars"": -0.002}",2015-01-07T11:53:00.000Z,51:31.6
20205,SELL,MU,SHOOTING-STAR,32.54,32.61,32.49,50,714,07/01/2015,12:29:00,86.43373,NULL,2015-01-07T12:31:00.000Z,23233.56,5808.39,32.59,NULL,NULL,31.77,P,32.54,0,"{""3-bars"": -0.002, ""5-bars"": -0.003, ""7-bars"": -0.002}",2015-01-07T12:32:00.000Z,51:31.6
20206,BUY,MNDT,HUMMER,30.74,30.67,30.79,50,714,07/01/2015,12:42:00,35.13514,NULL,2015-01-07T12:43:00.000Z,21948.36,5487.09,NULL,30.7,30.84,NULL,P,30.74,0,"{""3-bars"": -0.001, ""5-bars"": -0.002, ""7-bars"": -0.005}",2015-01-07T12:44:00.000Z,51:31.6
20207,BUY,MNDT,OKAR/B,30.61,30.48,30.72,50,385,07/01/2015,12:51:00,35.13514,NULL,2015-01-07T12:54:00.000Z,11784.85,2946.213,NULL,30.41,30.84,NULL,L,30.61,0,"{""3-bars"": 0.001, ""5-bars"": -0.0, ""7-bars"": -0.007}",2015-01-07T13:24:00.000Z,51:31.6
20208,SELL,MU,OKAR/S,32.23,32.31,32.17,50,625,07/01/2015,13:18:00,86.43373,NULL,2015-01-07T13:19:00.000Z,20143.75,5035.937,32.25,NULL,NULL,31.77,P,32.23,0,"{""3-bars"": 0.001, ""5-bars"": 0.001, ""7-bars"": 0.0}",2015-01-07T13:23:00.000Z,51:31.6
20209,BUY,MNDT,HUMMER,30.47,30.23,30.69,50,208,07/01/2015,13:25:00,54.05405,NULL,2015-01-07T13:26:00.000Z,6337.76,1584.44,NULL,30.42,30.84,NULL,P,30.47,0,"{""3-bars"": -0.004, ""5-bars"": -0.004, ""7-bars"": -0.005}",2015-01-07T13:55:00.000Z,51:31.6
20210,BUY,MNDT,OKAR/B,30.69,30.6,30.76,50,556,07/01/2015,14:06:00,54.05405,NULL,2015-01-07T14:07:00.000Z,17063.64,4265.91,NULL,30.65,30.84,NULL,P,30.69,0,"{""3-bars"": 0.0, ""5-bars"": 0.001, ""7-bars"": 0.001}",2015-01-07T14:10:00.000Z,51:31.6
20211,SELL,MU,OKAR/S,31.99,32.14,31.86,50,333,07/01/2015,14:11:00,86.43373,NULL,2015-01-07T14:12:00.000Z,10652.67,2663.168,32,NULL,NULL,31.77,P,31.99,0,"{""3-bars"": 0.002, ""5-bars"": -0.0, ""7-bars"": 0.001}",2015-01-07T14:13:00.000Z,51:31.6
20212,BUY,MNDT,HUMMER,30.67,30.57,30.75,50,500,07/01/2015,14:13:00,54.05405,NULL,2015-01-07T14:15:00.000Z,15335,3833.75,NULL,30.62,30.84,NULL,P,30.67,0,"{""3-bars"": -0.002, ""5-bars"": -0.001, ""7-bars"": -0.0}",2015-01-07T14:21:00.000Z,51:31.6
20213,BUY,MNDT,OKAR/B,30.74,30.65,30.81,50,556,07/01/2015,14:25:00,54.05405,NULL,2015-01-07T14:27:00.000Z,17091.44,4272.86,NULL,30.72,30.84,NULL,P,30.74,0,"{""3-bars"": 0.0, ""5-bars"": 0.0, ""7-bars"": 0.002}",2015-01-07T14:29:00.000Z,51:31.6
20214,SELL,MU,SHOOTING-STAR,31.84,32.01,31.69,50,294,07/01/2015,14:29:00,86.43373,NULL,NULL,9360.96,2340.24,NULL,NULL,NULL,NULL,C,NULL,NULL,"{""3-bars"": -0.0, ""5-bars"": 0.0, ""7-bars"": 0.003}",2015-01-07T14:33:00.000Z,51:31.6
