id,action,symbol,type,buy_point,stop_loss,take_profit,risk,quantity,date,time,gap,bp_filled_price,bp_filled_at,cost,leverage_cost,high,low,highest,lowest,pl,pl_filled_price,pl_amount,price_change,stop_at,created_at
20192,SELL,BP,OKAR/S,22.56,22.65,22.52,50,556,05/01/2015,10:58:00,4.52632,NULL,2015-01-05T10:59:00.000Z,12543.36,3135.84,22.57,NULL,NULL,22.33,P,22.56,0,"{""3-bars"": 0.0, ""5-bars"": 0.003, ""7-bars"": 0.001}",2015-01-05T11:00:00.000Z,43:42.7
20193,SELL,BP,OKAR/S,22.34,22.45,22.28,50,455,05/01/2015,11:27:00,4.52632,NULL,2015-01-05T11:28:00.000Z,10164.7,2541.175,22.46,NULL,NULL,22.33,L,22.34,0,"{""3-bars"": -0.0, ""5-bars"": 0.0, ""7-bars"": 0.001}",2015-01-05T11:38:00.000Z,43:42.7
20194,SELL,BP,OKAR/S,22.48,22.59,22.42,50,455,05/01/2015,11:57:00,4.52632,NULL,2015-01-05T11:58:00.000Z,10228.4,2557.1,22.6,NULL,NULL,22.47,L,22.48,0,"{""3-bars"": 0.001, ""5-bars"": -0.001, ""7-bars"": -0.0}",2015-01-05T12:44:00.000Z,43:42.7
20195,SELL,BP,SHOOTING-STAR,22.52,22.59,22.5,50,714,05/01/2015,12:08:00,4.52632,NULL,2015-01-05T12:09:00.000Z,16079.28,4019.82,22.54,NULL,NULL,22.49,P,22.52,0,"{""3-bars"": -0.001, ""5-bars"": -0.001, ""7-bars"": -0.001}",2015-01-05T12:11:00.000Z,43:42.7
20196,SELL,BP,SHOOTING-STAR,22.54,22.63,22.5,50,556,05/01/2015,12:22:00,4.52632,NULL,2015-01-05T12:23:00.000Z,12532.24,3133.06,22.63,NULL,NULL,22.5,L,22.54,0,"{""3-bars"": -0.001, ""5-bars"": 0.0, ""7-bars"": -0.002}",2015-01-05T13:08:00.000Z,43:42.7
20197,SELL,BP,OKAR/S,22.59,22.68,22.55,50,556,05/01/2015,13:14:00,4.52632,NULL,NULL,12560.04,3140.01,NULL,NULL,NULL,NULL,C,NULL,NULL,"{""3-bars"": 0.0, ""5-bars"": 0.002, ""7-bars"": 0.001}",2015-01-05T13:18:00.000Z,43:42.7
20198,SELL,BP,SHOOTING-STAR,22.64,22.73,22.6,50,556,05/01/2015,13:24:00,4.52632,NULL,NULL,12587.84,3146.96,NULL,NULL,NULL,NULL,C,NULL,NULL,"{""3-bars"": -0.0, ""5-bars"": -0.001, ""7-bars"": -0.001}",2015-01-05T13:28:00.000Z,43:42.7
20199,SELL,BP,SHOOTING-STAR,22.67,22.76,22.63,50,556,05/01/2015,13:59:00,4.52632,NULL,NULL,12604.52,3151.13,NULL,NULL,NULL,NULL,C,NULL,NULL,"{""3-bars"": -0.001, ""5-bars"": 0.001, ""7-bars"": 0.001}",2015-01-05T14:03:00.000Z,43:42.7
20200,SELL,BP,SHOOTING-STAR,22.68,22.76,22.65,50,625,05/01/2015,14:12:00,4.52632,NULL,2015-01-05T14:13:00.000Z,14175,3543.75,22.73,NULL,NULL,22.63,P,22.68,0,"{""3-bars"": -0.0, ""5-bars"": 0.0, ""7-bars"": -0.0}",2015-01-05T15:00:00.000Z,43:42.7
20201,BUY,MNDT,HUMMER,31.14,30.9,31.33,50,208,07/01/2015,09:46:00,7.20721,NULL,NULL,6477.12,1619.28,NULL,NULL,NULL,NULL,C,NULL,NULL,"{""3-bars"": -0.009, ""5-bars"": -0.004, ""7-bars"": 0.004}",2015-01-07T09:50:00.000Z,43:43.3
