id,action,symbol,type,buy_point,stop_loss,take_profit,risk,quantity,date,time,gap,bp_filled_price,bp_filled_at,cost,leverage_cost,high,low,highest,lowest,pl,pl_filled_price,pl_amount,price_change,stop_at,created_at
23883,SELL,BABA,SHOOTING-STAR,76.16,76.26,76.06,50,500,04/01/2016,12:59:00,100,NULL,NULL,38080,9520,NULL,NULL,NULL,NULL,C,NULL,NULL,"{""3-bars"": -0.001, ""5-bars"": -0.001, ""7-bars"": -0.001}",2016-01-04T13:03:00.000Z,27:53.6
23879,SELL,NFLX,OKAR/S,106.88,107.73,106.03,50,59,04/01/2016,09:51:00,10.16636,NULL,2016-01-04T09:52:00.000Z,6305.92,1576.48,107.2,NULL,NULL,105.21,P,106.88,0,"{""3-bars"": 0.004, ""5-bars"": -0.003, ""7-bars"": 0.004}",2016-01-04T10:12:00.000Z,27:53.5
23880,SELL,BABA,OKAR/S,76.68,76.93,76.43,50,200,04/01/2016,10:12:00,100,NULL,2016-01-04T10:13:00.000Z,15336,3834,76.84,NULL,NULL,75.18,P,76.68,0,"{""3-bars"": -0.001, ""5-bars"": -0.002, ""7-bars"": -0.005}",2016-01-04T10:23:00.000Z,27:53.5
23881,SELL,BABA,OKAR/S,75.27,75.58,74.96,50,161,04/01/2016,11:25:00,100,NULL,2016-01-04T11:26:00.000Z,12118.47,3029.618,75.6,NULL,NULL,75.23,L,75.27,0,"{""3-bars"": 0.002, ""5-bars"": 0.001, ""7-bars"": 0.001}",2016-01-04T11:34:00.000Z,27:53.6
23882,SELL,NFLX,OKAR/S,107,107.31,106.69,50,161,04/01/2016,11:45:00,10.16636,NULL,2016-01-04T11:46:00.000Z,17227,4306.75,107.23,NULL,NULL,106.28,P,107,0,"{""3-bars"": 0.001, ""5-bars"": 0.0, ""7-bars"": -0.002}",2016-01-04T12:00:00.000Z,27:53.6
23884,SELL,NFLX,OKAR/S,107.79,108.16,107.42,50,135,04/01/2016,13:17:00,10.16636,NULL,2016-01-04T13:18:00.000Z,14551.65,3637.913,108.25,NULL,NULL,107.52,L,107.79,0,"{""3-bars"": -0.0, ""5-bars"": 0.0, ""7-bars"": 0.003}",2016-01-04T13:34:00.000Z,27:53.7
23885,SELL,BABA,SHOOTING-STAR,76.53,76.63,76.43,50,500,04/01/2016,13:27:00,100,NULL,NULL,38265,9566.25,NULL,NULL,NULL,NULL,C,NULL,NULL,"{""3-bars"": -0.001, ""5-bars"": -0.001, ""7-bars"": 0.001}",2016-01-04T13:31:00.000Z,27:53.7
23886,SELL,BABA,OKAR/S,76.93,77.11,76.75,50,278,04/01/2016,13:47:00,100,NULL,2016-01-04T13:48:00.000Z,21386.54,5346.635,77.04,NULL,NULL,76.03,P,76.93,0,"{""3-bars"": -0.001, ""5-bars"": 0.001, ""7-bars"": 0.001}",2016-01-04T13:56:00.000Z,27:53.7
23887,BUY,SWBI,OKAR/B,19.39,19.23,19.55,50,312,05/01/2016,10:31:00,25.32558,NULL,2016-01-05T10:32:00.000Z,6049.68,1512.42,NULL,19.23,19.63,NULL,L,19.39,0,"{""3-bars"": -0.0, ""5-bars"": 0.004, ""7-bars"": 0.01}",2016-01-05T10:46:00.000Z,28:01.6
23888,BUY,SWBI,OKAR/B,19.36,19.21,19.51,50,333,05/01/2016,10:35:00,25.32558,NULL,2016-01-05T10:36:00.000Z,6446.88,1611.72,NULL,19.23,19.63,NULL,P,19.36,0,"{""3-bars"": -0.002, ""5-bars"": 0.001, ""7-bars"": -0.002}",2016-01-05T10:50:00.000Z,28:01.6
23889,BUY,GPRO,OKAR/B,19.4,19.23,19.57,50,294,05/01/2016,11:00:00,61.76471,NULL,NULL,5703.6,1425.9,NULL,NULL,NULL,NULL,C,NULL,NULL,"{""3-bars"": -0.001, ""5-bars"": -0.001, ""7-bars"": -0.001}",2016-01-05T11:04:00.000Z,28:01.6
23890,BUY,GPRO,HUMMER,19.18,19.07,19.29,50,455,05/01/2016,11:21:00,70.58824,NULL,2016-01-05T11:22:00.000Z,8726.9,2181.725,NULL,18.93,19.28,NULL,L,19.18,0,"{""3-bars"": -0.003, ""5-bars"": -0.001, ""7-bars"": 0.001}",2016-01-05T11:37:00.000Z,28:01.6
23891,BUY,GPRO,OKAR/B,19.21,19.07,19.35,50,357,05/01/2016,11:30:00,70.58824,NULL,NULL,6857.97,1714.493,NULL,NULL,NULL,NULL,C,NULL,NULL,"{""3-bars"": 0.001, ""5-bars"": -0.0, ""7-bars"": -0.004}",2016-01-05T11:34:00.000Z,28:01.6
23892,BUY,SWBI,HUMMER,19.32,19.22,19.42,50,500,05/01/2016,11:36:00,25.32558,NULL,NULL,9660,2415,NULL,NULL,NULL,NULL,C,NULL,NULL,"{""3-bars"": -0.002, ""5-bars"": -0.0, ""7-bars"": -0.001}",2016-01-05T11:40:00.000Z,28:01.6
23893,BUY,SWBI,OKAR/B,19.54,19.34,19.74,50,250,05/01/2016,14:09:00,25.32558,NULL,NULL,4885,1221.25,NULL,NULL,NULL,NULL,C,NULL,NULL,"{""3-bars"": 0.003, ""5-bars"": 0.004, ""7-bars"": 0.006}",2016-01-05T14:13:00.000Z,28:01.7
23894,BUY,GPRO,HUMMER,18.75,18.67,18.83,50,625,05/01/2016,14:17:00,132.35294,NULL,2016-01-05T14:18:00.000Z,11718.75,2929.688,NULL,18.74,18.96,NULL,P,18.75,0,"{""3-bars"": 0.0, ""5-bars"": -0.001, ""7-bars"": -0.001}",2016-01-05T14:19:00.000Z,28:01.7
23895,BUY,SWBI,HUMMER,19.39,19.32,19.46,50,714,05/01/2016,14:46:00,25.32558,NULL,2016-01-05T14:48:00.000Z,13844.46,3461.115,NULL,19.37,19.5,NULL,P,19.39,0,"{""3-bars"": -0.002, ""5-bars"": -0.002, ""7-bars"": -0.003}",2016-01-05T14:50:00.000Z,28:01.8
23896,SELL,BP,OKAR/S,19.99,20.1,19.88,50,455,06/01/2016,09:40:00,16.62687,NULL,NULL,9095.45,2273.862,NULL,NULL,NULL,NULL,C,NULL,NULL,"{""3-bars"": 0.0, ""5-bars"": -0.002, ""7-bars"": 0.001}",2016-01-06T09:44:00.000Z,28:09.5
