id,action,symbol,type,buy_point,stop_loss,take_profit,risk,quantity,date,time,gap,bp_filled_price,bp_filled_at,cost,leverage_cost,high,low,highest,lowest,pl,pl_filled_price,pl_amount,price_change,stop_at,created_at
20192,SELL,BP,OKAR/S,22.56,22.67,22.52,50,455,05/01/2015,10:58:00,4.52632,NULL,2015-01-05T10:59:00.000Z,10264.8,2566.2,22.57,NULL,NULL,22.33,P,22.56,0,"{""3-bars"": 0.0, ""5-bars"": 0.003, ""7-bars"": 0.001}",2015-01-05T11:00:00.000Z,33:03.5
20193,SELL,BP,OKAR/S,22.34,22.47,22.28,50,385,05/01/2015,11:27:00,4.52632,NULL,2015-01-05T11:28:00.000Z,8600.9,2150.225,22.48,NULL,NULL,22.33,L,22.34,0,"{""3-bars"": -0.0, ""5-bars"": 0.0, ""7-bars"": 0.001}",2015-01-05T11:39:00.000Z,33:03.5
20194,SELL,BP,OKAR/S,22.48,22.61,22.42,50,385,05/01/2015,11:57:00,4.52632,NULL,2015-01-05T11:58:00.000Z,8654.8,2163.7,22.62,NULL,NULL,22.47,L,22.48,0,"{""3-bars"": 0.001, ""5-bars"": -0.001, ""7-bars"": -0.0}",2015-01-05T12:49:00.000Z,33:03.5
20195,SELL,BP,SHOOTING-STAR,22.52,22.61,22.5,50,556,05/01/2015,12:08:00,4.52632,NULL,2015-01-05T12:09:00.000Z,12521.12,3130.28,22.54,NULL,NULL,22.49,P,22.52,0,"{""3-bars"": -0.001, ""5-bars"": -0.001, ""7-bars"": -0.001}",2015-01-05T12:11:00.000Z,33:03.5
20196,SELL,BP,SHOOTING-STAR,22.54,22.65,22.5,50,455,05/01/2015,12:22:00,4.52632,NULL,2015-01-05T12:23:00.000Z,10255.7,2563.925,22.66,NULL,NULL,22.5,L,22.54,0,"{""3-bars"": -0.001, ""5-bars"": 0.0, ""7-bars"": -0.002}",2015-01-05T13:21:00.000Z,33:03.5
20197,SELL,BP,OKAR/S,22.59,22.7,22.55,50,455,05/01/2015,13:14:00,4.52632,NULL,NULL,10278.45,2569.613,NULL,NULL,NULL,NULL,C,NULL,NULL,"{""3-bars"": 0.0, ""5-bars"": 0.002, ""7-bars"": 0.001}",2015-01-05T13:18:00.000Z,33:03.5
20198,SELL,BP,SHOOTING-STAR,22.64,22.75,22.6,50,455,05/01/2015,13:24:00,4.52632,NULL,NULL,10301.2,2575.3,NULL,NULL,NULL,NULL,C,NULL,NULL,"{""3-bars"": -0.0, ""5-bars"": -0.001, ""7-bars"": -0.001}",2015-01-05T13:28:00.000Z,33:03.5
20199,SELL,BP,SHOOTING-STAR,22.67,22.78,22.63,50,455,05/01/2015,13:59:00,4.52632,NULL,NULL,10314.85,2578.713,NULL,NULL,NULL,NULL,C,NULL,NULL,"{""3-bars"": -0.001, ""5-bars"": 0.001, ""7-bars"": 0.001}",2015-01-05T14:03:00.000Z,33:03.5
20200,SELL,BP,SHOOTING-STAR,22.68,22.78,22.65,50,500,05/01/2015,14:12:00,4.52632,NULL,2015-01-05T14:13:00.000Z,11340,2835,22.73,NULL,NULL,22.63,P,22.68,0,"{""3-bars"": -0.0, ""5-bars"": 0.0, ""7-bars"": -0.0}",2015-01-05T15:00:00.000Z,33:03.5
20201,BUY,MNDT,HUMMER,31.14,30.88,31.33,50,192,07/01/2015,09:46:00,7.20721,NULL,NULL,5978.88,1494.72,NULL,NULL,NULL,NULL,C,NULL,NULL,"{""3-bars"": -0.009, ""5-bars"": -0.004, ""7-bars"": 0.004}",2015-01-07T09:50:00.000Z,33:04.0
20202,BUY,MNDT,HUMMER,31.11,30.93,31.22,50,278,07/01/2015,09:49:00,7.20721,NULL,NULL,8648.58,2162.145,NULL,NULL,NULL,NULL,C,NULL,NULL,"{""3-bars"": 0.0, ""5-bars"": -0.006, ""7-bars"": -0.012}",2015-01-07T09:53:00.000Z,33:04.0
20203,SELL,MU,SHOOTING-STAR,31.85,31.96,31.81,50,455,07/01/2015,10:46:00,51.99398,NULL,2015-01-07T10:47:00.000Z,14491.75,3622.938,32.16,NULL,NULL,31.77,L,31.85,0,"{""3-bars"": -0.002, ""5-bars"": 0.001, ""7-bars"": 0.001}",2015-01-07T10:51:00.000Z,33:04.0
20204,BUY,MNDT,OKAR/B,30.94,30.7,31.11,50,208,07/01/2015,11:15:00,35.13514,NULL,2015-01-07T11:16:00.000Z,6435.52,1608.88,NULL,30.84,31.28,NULL,P,30.94,0,"{""3-bars"": 0.001, ""5-bars"": -0.0, ""7-bars"": -0.002}",2015-01-07T11:53:00.000Z,33:04.0
20205,SELL,MU,SHOOTING-STAR,32.54,32.66,32.49,50,417,07/01/2015,12:29:00,86.43373,NULL,2015-01-07T12:31:00.000Z,13569.18,3392.295,32.59,NULL,NULL,31.77,P,32.54,0,"{""3-bars"": -0.002, ""5-bars"": -0.003, ""7-bars"": -0.002}",2015-01-07T12:32:00.000Z,33:04.0
20206,BUY,MNDT,HUMMER,30.74,30.62,30.79,50,417,07/01/2015,12:42:00,35.13514,NULL,2015-01-07T12:43:00.000Z,12818.58,3204.645,NULL,30.7,30.84,NULL,P,30.74,0,"{""3-bars"": -0.001, ""5-bars"": -0.002, ""7-bars"": -0.005}",2015-01-07T12:44:00.000Z,33:04.0
20207,BUY,MNDT,OKAR/B,30.61,30.43,30.72,50,278,07/01/2015,12:51:00,35.13514,NULL,2015-01-07T12:54:00.000Z,8509.58,2127.395,NULL,30.41,30.84,NULL,L,30.61,0,"{""3-bars"": 0.001, ""5-bars"": -0.0, ""7-bars"": -0.007}",2015-01-07T13:24:00.000Z,33:04.0
20208,SELL,MU,OKAR/S,32.23,32.36,32.17,50,385,07/01/2015,13:18:00,86.43373,NULL,2015-01-07T13:19:00.000Z,12408.55,3102.138,32.25,NULL,NULL,31.77,P,32.23,0,"{""3-bars"": 0.001, ""5-bars"": 0.001, ""7-bars"": 0.0}",2015-01-07T13:23:00.000Z,33:04.0
20209,BUY,MNDT,HUMMER,30.47,30.18,30.69,50,172,07/01/2015,13:25:00,54.05405,NULL,2015-01-07T13:26:00.000Z,5240.84,1310.21,NULL,30.42,30.84,NULL,P,30.47,0,"{""3-bars"": -0.004, ""5-bars"": -0.004, ""7-bars"": -0.005}",2015-01-07T13:55:00.000Z,33:04.0
20210,BUY,MNDT,OKAR/B,30.69,30.55,30.76,50,357,07/01/2015,14:06:00,54.05405,NULL,2015-01-07T14:07:00.000Z,10956.33,2739.083,NULL,30.65,30.84,NULL,P,30.69,0,"{""3-bars"": 0.0, ""5-bars"": 0.001, ""7-bars"": 0.001}",2015-01-07T14:10:00.000Z,33:04.1
